//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 3-7-2021
//--  Time: 11:31
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:fileBrowseGenerator
//-- Table Identifier:002//--    Generated from user inc file 
//--    Useing user File:
//-- /home/nhol .... ects/Speeduino Miata/inc/AEM 30-3130.inc
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
369	11.59	116 	1.802
370	11.60	116 	1.807
371	11.61	116 	1.812
372	11.62	116 	1.816
373	11.64	116 	1.821
374	11.65	116 	1.826
375	11.66	117 	1.831
376	11.67	117 	1.836
377	11.68	117 	1.841
378	11.69	117 	1.846
379	11.70	117 	1.851
380	11.72	117 	1.855
381	11.73	117 	1.860
382	11.74	117 	1.865
383	11.75	118 	1.870
384	11.76	118 	1.875
385	11.77	118 	1.880
386	11.79	118 	1.885
387	11.80	118 	1.890
388	11.81	118 	1.895
389	11.82	118 	1.899
390	11.83	118 	1.904
391	11.84	118 	1.909
392	11.85	119 	1.914
393	11.87	119 	1.919
394	11.88	119 	1.924
395	11.89	119 	1.929
396	11.90	119 	1.934
397	11.91	119 	1.938
398	11.92	119 	1.943
399	11.94	119 	1.948
400	11.95	119 	1.953
401	11.96	120 	1.958
402	11.97	120 	1.963
403	11.98	120 	1.968
404	11.99	120 	1.973
405	12.01	120 	1.978
406	12.02	120 	1.982
407	12.03	120 	1.987
408	12.04	120 	1.992
409	12.05	121 	1.997
410	12.06	121 	2.002
411	12.07	121 	2.007
412	12.09	121 	2.012
413	12.10	121 	2.017
414	12.11	121 	2.021
415	12.12	121 	2.026
416	12.13	121 	2.031
417	12.14	121 	2.036
418	12.16	122 	2.041
419	12.17	122 	2.046
420	12.18	122 	2.051
421	12.19	122 	2.056
422	12.20	122 	2.061
423	12.22	122 	2.065
424	12.23	122 	2.070
425	12.24	122 	2.075
426	12.25	123 	2.080
427	12.26	123 	2.085
428	12.27	123 	2.090
429	12.29	123 	2.095
430	12.30	123 	2.100
431	12.31	123 	2.104
432	12.32	123 	2.109
433	12.33	123 	2.114
434	12.34	123 	2.119
435	12.36	124 	2.124
436	12.37	124 	2.129
437	12.38	124 	2.134
438	12.39	124 	2.139
439	12.40	124 	2.144
440	12.41	124 	2.148
441	12.43	124 	2.153
442	12.44	124 	2.158
443	12.45	124 	2.163
444	12.46	125 	2.168
445	12.47	125 	2.173
446	12.48	125 	2.178
447	12.50	125 	2.183
448	12.51	125 	2.188
449	12.52	125 	2.192
450	12.53	125 	2.197
451	12.54	125 	2.202
452	12.55	126 	2.207
453	12.57	126 	2.212
454	12.58	126 	2.217
455	12.59	126 	2.222
456	12.60	126 	2.227
457	12.61	126 	2.231
458	12.62	126 	2.236
459	12.64	126 	2.241
460	12.65	126 	2.246
461	12.66	127 	2.251
462	12.67	127 	2.256
463	12.68	127 	2.261
464	12.69	127 	2.266
465	12.70	127 	2.271
466	12.72	127 	2.275
467	12.73	127 	2.280
468	12.74	127 	2.285
469	12.75	128 	2.290
470	12.76	128 	2.295
471	12.77	128 	2.300
472	12.79	128 	2.305
473	12.80	128 	2.310
474	12.81	128 	2.314
475	12.82	128 	2.319
476	12.83	128 	2.324
477	12.84	128 	2.329
478	12.86	129 	2.334
479	12.87	129 	2.339
480	12.88	129 	2.344
481	12.89	129 	2.349
482	12.90	129 	2.354
483	12.91	129 	2.358
484	12.93	129 	2.363
485	12.94	129 	2.368
486	12.95	129 	2.373
487	12.96	130 	2.378
488	12.97	130 	2.383
489	12.98	130 	2.388
490	12.99	130 	2.393
491	13.01	130 	2.397
492	13.02	130 	2.402
493	13.03	130 	2.407
494	13.04	130 	2.412
495	13.05	131 	2.417
496	13.06	131 	2.422
497	13.08	131 	2.427
498	13.09	131 	2.432
499	13.10	131 	2.437
500	13.11	131 	2.441
501	13.12	131 	2.446
502	13.13	131 	2.451
503	13.15	131 	2.456
504	13.16	132 	2.461
505	13.17	132 	2.466
506	13.18	132 	2.471
507	13.19	132 	2.476
508	13.20	132 	2.480
509	13.22	132 	2.485
510	13.23	132 	2.490
511	13.24	132 	2.495
512	13.25	133 	2.500
513	13.26	133 	2.505
514	13.27	133 	2.510
515	13.29	133 	2.515
516	13.30	133 	2.520
517	13.31	133 	2.524
518	13.32	133 	2.529
519	13.33	133 	2.534
520	13.34	133 	2.539
521	13.36	134 	2.544
522	13.37	134 	2.549
523	13.38	134 	2.554
524	13.39	134 	2.559
525	13.40	134 	2.563
526	13.41	134 	2.568
