#Firmware: Speeduino 2020.08
ToothTime,Time
uS,uS
54012.0,1.19091814E9
63020.0,1.19098112E9
51360.0,1.19103245E9
61588.0,1.19109402E9
49876.0,1.19114394E9
61864.0,1.19120576E9
49844.0,1.19125555E9
61448.0,1.19131699E9
50076.0,1.19136704E9
61660.0,1.19142874E9
50268.0,1.19147904E9
61504.0,1.19154048E9
49768.0,1.19159027E9
62164.0,1.19165248E9
49776.0,1.19170227E9
61740.0,1.19176397E9
50480.0,1.1918144E9
62204.0,1.19187661E9
50708.0,1.1919273E9
62128.0,1.19198938E9
50384.0,1.19203981E9
62280.0,1.19210214E9
50180.0,1.19215232E9
62144.0,1.19221453E9
50804.0,1.19226534E9
62500.0,1.19232781E9
51112.0,1.19237888E9
62472.0,1.19244134E9
50712.0,1.19249203E9
62676.0,1.19255475E9
50448.0,1.19260518E9
62440.0,1.19266765E9
51044.0,1.19271872E9
62596.0,1.19278131E9
51200.0,1.19283251E9
62496.0,1.19289498E9
50900.0,1.19294592E9
62736.0,1.19300864E9
50656.0,1.19305933E9
62576.0,1.19312192E9
51324.0,1.19317325E9
62760.0,1.19323597E9
51424.0,1.19328742E9
62748.0,1.19335014E9
51088.0,1.19340122E9
62952.0,1.19346419E9
50912.0,1.19351514E9
62652.0,1.19357773E9
51392.0,1.19362918E9
62884.0,1.19369203E9
MARK 000
63168.0,1.19375514E9
51960.0,1.1938071E9
62968.0,1.19387008E9
51700.0,1.19392179E9
63648.0,1.19398541E9
51328.0,1.19403674E9
63180.0,1.19409997E9
52380.0,1.19415232E9
63200.0,1.19421555E9
52192.0,1.19426778E9
63116.0,1.19433088E9
51816.0,1.19438272E9
63568.0,1.19444634E9
51284.0,1.19449766E9
63156.0,1.19456077E9
52296.0,1.19461312E9
63260.0,1.19467635E9
52272.0,1.19472858E9
63172.0,1.19479181E9
51808.0,1.19484365E9
63332.0,1.19490701E9
51120.0,1.19495808E9
63168.0,1.19502131E9
52196.0,1.19507354E9
63228.0,1.19513677E9
52364.0,1.19518912E9
63248.0,1.19525235E9
51768.0,1.19530406E9
63920.0,1.19536794E9
51776.0,1.19541965E9
63624.0,1.19548326E9
52436.0,1.19553574E9
63680.0,1.19559936E9
52664.0,1.19565197E9
63292.0,1.1957152E9
51848.0,1.19576704E9
63724.0,1.19583078E9
51584.0,1.19588237E9
63444.0,1.19594586E9
52388.0,1.19599821E9
63688.0,1.19606195E9
52684.0,1.19611469E9
63272.0,1.19617792E9
51932.0,1.19622989E9
63836.0,1.19629376E9
51836.0,1.1963456E9
63564.0,1.19640922E9
52560.0,1.19646182E9
63748.0,1.19652557E9
52704.0,1.1965783E9
63212.0,1.19664154E9
51976.0,1.1966935E9
63576.0,1.19675712E9
51724.0,1.19680883E9
63412.0,1.19687219E9
52492.0,1.19692467E9
63664.0,1.19698829E9
52640.0,1.1970409E9
63244.0,1.19710413E9
52128.0,1.19715622E9
63756.0,1.19721997E9
51752.0,1.19727168E9
63484.0,1.19733517E9
52652.0,1.19738778E9
63716.0,1.19745152E9
52528.0,1.197504E9
63432.0,1.19756749E9
52056.0,1.19761958E9
63528.0,1.19768307E9
51516.0,1.19773453E9
63356.0,1.19779789E9
52424.0,1.19785037E9
63632.0,1.19791398E9
52552.0,1.19796659E9
63344.0,1.19802995E9
52112.0,1.19808205E9
63588.0,1.19814566E9
51560.0,1.19819725E9
63536.0,1.19826074E9
52604.0,1.19831334E9
63768.0,1.19837709E9
52632.0,1.1984297E9
63560.0,1.19849331E9
52156.0,1.19854541E9
63652.0,1.19860902E9
51668.0,1.19866074E9
63564.0,1.19872435E9
52552.0,1.19877696E9
63788.0,1.1988407E9
52828.0,1.19889357E9
63548.0,1.19895706E9
52344.0,1.19900941E9
63488.0,1.1990729E9
51580.0,1.19912448E9
63292.0,1.19918771E9
52352.0,1.19924006E9
63772.0,1.19930381E9
52848.0,1.19935667E9
63580.0,1.19942029E9
52280.0,1.19947251E9
63804.0,1.19953626E9
52008.0,1.19958822E9
63532.0,1.19965171E9
52728.0,1.19970445E9
64012.0,1.19976845E9
52876.0,1.19982131E9
63664.0,1.19988493E9
52264.0,1.19993715E9
63832.0,1.20000102E9
52084.0,1.20005312E9
63492.0,1.20011661E9
52720.0,1.20016934E9
63896.0,1.20023322E9
52728.0,1.20028595E9
63552.0,1.20034944E9
52208.0,1.20040166E9
63832.0,1.20046554E9
51952.0,1.2005175E9
63420.0,1.20058086E9
52756.0,1.2006336E9
63796.0,1.20069734E9
52712.0,1.20075008E9
63652.0,1.2008137E9
52328.0,1.20086605E9
63720.0,1.20092979E9
51928.0,1.20098176E9
63416.0,1.20104512E9
MARK 001
